A2a,IT0001233417
"Abitare In",IT0005338493
Acea,IT0001207098
"Acotel Group",IT0001469953
Acsm-Agam,IT0001382024
Adidas,DE000A1EWWW0
"Advanced Micro Devices",US0079031078
Aedes,IT0005350449
Aeffe,IT0001384590
Aegon,NL0000303709
"Aeroporto Guglielmo Marconi Di Bologna",IT0001006128
Agatos,IT0005421919
"Agatos 4,75% Cv 2017-2026",IT0005256059
Ageas,BE0974264930
"Ahold Del",NL0011794037
"Air France-Klm",FR0000031122
"Air Liquide",FR0000120073
Airbus,NL0000235190
"Alerion Cleanpower",IT0004720733
"Alfio Bardolla",IT0005244030
Algowatt,IT0004359037
Alkemy,IT0005314635
Allianz,DE0008404005
"Alphabet Classe A",US02079K3059
"Alphabet Classe C",US02079K1079
Amazon,US0231351067
Ambienthesis,IT0001042297
Ambromobiliare,IT0004779515
Amgen,US0311621009
Amm,IT0005367427
Amplifon,IT0004056880
Anheuser-Busch,BE0974293251
"Anima Holding",IT0004998065
"Antares Vision",IT0005366601
Apple,US0378331005
Aquafil,IT0005241192
"Arterra Bioscience",IT0005386369
Ascopiave,IT0004093263
"Askoll Eva",IT0005337123
Asml,NL0010273215
Assiteca,IT0001012639
Astaldi,IT0003261069
Astm,IT0000084027
Atlantia,IT0003506190
Autogrill,IT0001137345
"Autostrade Meridionali",IT0000084043
Avio,IT0005119810
Axa,FR0000120628
"Azimut Holding",IT0003261697
"B&C Speakers",IT0001268561
B.F.,IT0005187460
"Banca Carige",IT0005108763
"Banca Carige Rsp",IT0005108771
"Banca Farmafactoring",IT0005244402
"Banca Finnat",IT0000088853
"Banca Generali",IT0001031084
"Banca Ifis",IT0003188064
"Banca Intermobiliare",IT0000074077
"Banca Mediolanum",IT0004776628
"Banca Monte Paschi Siena",IT0005218752
"Banca Pop Sondrio",IT0000784196
"Banca Profilo",IT0001073045
"Banca Sistema",IT0003173629
"Banco Bpm",IT0005218380
"Banco Di Desio E Brianza",IT0001041000
"Banco Di Desio E Brianza Rsp",IT0001281374
"Banco Santander",ES0113900J37
Basf,DE000BASF111
Basicnet,IT0001033700
Bastogi,IT0004412497
Bayer,DE000BAY0017
"Bb Biotech",CH0038389992
Bbva,ES0113211835
Be,IT0001479523
Beghelli,IT0001223277
Beiersdorf,DE0005200000
"Bialetti Industrie",IT0004222102
Biancamano,IT0004095888
Biesse,IT0003097257
Bioera,IT0005387995
"Blue Financial Communication",IT0005144768
Bmw,DE0005190003
"Bnp Paribas",FR0000131104
Borgosesia,IT0003217335
"Borgosesia 5% Cv 2016- 2022",IT0005224909
"Borgosesia 6% Cv 2015- 2021",IT0005124653
"Borgosesia Rsp",IT0003217368
"Bper Banca",IT0000066123
"Bper Banca Aa",IT0005422826
Brembo,IT0005252728
