"A2A SPA ","Valotti Giovanni",Presidente
,"Bariatti Stefania","Vice Presidente"
,"Camerano Luca","Amministratore Delegato"
,"Ravera Secondina Giulia",Amministratore
,"De Paoli Luigi",Amministratore
,"Franceschetti Maria Chiara",Amministratore
,"Comboni Giovanni",Amministratore
,"Giusti Gaudiana",Amministratore
,"Fracassi Alessandro",Amministratore
,"Brivio Giambattista",Amministratore
,"Rosini Norberto",Amministratore
,"Corali Enrico",Amministratore
"ACEA SPA ","Castelli Michaela","Presidente e Componente del Comitato Esecutivo"
,"Donnarumma Stefano Antonio","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Giani Giovanni","Amministratore e Componente del Comitato Esecutivo"
,"Sterpetti Maria Verbena",Amministratore
,"Capece Minutolo Del Sasso Massimiliano","Amministratore e Componente del Comitato Esecutivo"
,"Godino Liliana",Amministratore
,"Galbe Diane",Amministratore
,"Chiellino Gabriella",Amministratore
,"Caltagirone Alessandro",Amministratore
"ACOTEL GROUP SPA ","Carnevale Claudio","Presidente e Amministratore Delegato"
,"Pennesi Maricla",Amministratore
,"Rota Davide",Amministratore
,"Argenziano Margherita",Amministratore
,"Amoroso Mario",Amministratore
"ACSM-AGAM SPA ","Busnelli Paolo Giuseppe",Presidente
,"Rezzonico Marco","Vice Presidente"
,"Canzi Marco","Vice Presidente"
,"Soldani Paolo","Amministratore Delegato"
,"Arcudi Annamaria",Amministratore
,"Roncari Fulvio",Amministratore
,"Gusmeroli Fausto",Amministratore
,"Musile Tanzi Paola",Amministratore
,"Ferrari Alessandra",Amministratore
,"Crenna Andrea",Amministratore
,"Cogliati Chiara",Amministratore
,"Benigni Maria Ester",Amministratore
,"Nizzi Tommaso",Amministratore
"AEDES SIIQ SPA ","Puri Negri Carlo Alessandro",Presidente
,"Ceglie Benedetto","Vice Presidente"
,"Roveda Giuseppe","Amministratore Delegato"
,"Gandolfo Alessandro",Amministratore
,"Pontiggia Anna Maria",Amministratore
,"Gabrielli Giorgio",Amministratore
,"Rossano Serenella",Amministratore
,"Ricci Rosanna",Amministratore
,"Guarneri Adriano",Amministratore
"AEFFE SPA ","Ferretti Massimo",Presidente
,"Campedelli Bettina",Amministratore
,"Tassinari Marcello",Amministratore
,"Saitta Daniela",Amministratore
,"Bonfiglioli Alessandro",Amministratore
,"Badioli Simone",Amministratore
,"Ferretti Alberta",Amministratore
,"Lugano Roberto",Amministratore
"AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA ","Postacchini Enrico",Presidente
,"Ventola Nazareno","Amministratore Delegato"
,"Giannini Silvia",Amministratore
,"Tozzi Gennarino",Amministratore
,"Troncone Marco",Amministratore
,"Veronesi Valerio",Amministratore
,"Pascotto Laura",Amministratore
,"Sidoli Eugenio",Amministratore
,"Grandi Giada",Amministratore
"ALERION CLEAN POWER SPA ","Gostner Josef","Presidente e Amministratore Delegato"
,"Vaja Georg","Vice Presidente"
,"Zwick Elmar",Amministratore
,"Bruno Paola",Amministratore
,"Signoretti Paolo",Amministratore
,"Pircher Patrick",Amministratore
,"Dapoz Nadia",Amministratore
,"Giustiniani Vittoria",Amministratore
"ALKEMY SPA ","Mattiacci Alessandro",Presidente
,"Beraldi Francesco","Vice Presidente"
,"Vitali Duccio","Amministratore Delegato"
,"De Brabant Matteo Carlo",Amministratore
,"Di Camillo Andrea",Amministratore
,"Sala Serenella",Amministratore
,"Bianchi Frangipane Giulia",Amministratore
,"Abeltino Giorgia",Amministratore
,"Lorenzini Riccardo Cesare",Amministratore
"AMBIENTHESIS SPA ","Bozzetti Giovanni",Presidente
,"Belli Damiano","Amministratore Delegato"
,"Pedretti Susanna",Amministratore
,"Zocchi Roberto",Amministratore
,"Margutti Paola",Amministratore
,"Mangialardi Giovanni",Amministratore
,"Chiellino Gabriella",Amministratore
"AMPLIFON SPA ","Holland Susan Carol",Presidente
,"Vita Enrico","Amministratore Delegato"
,"Grieco Maria Patrizia",Amministratore
,"Costa Maurizio",Amministratore
,"Pozza Lorenzo",Amministratore
,"Tamburi Giovanni",Amministratore
,"Donnini Laura",Amministratore
,"Casalini Andrea",Amministratore
,"Cortesi Alessandro",Amministratore
"ANIMA HOLDING SPA ","Raimondi Livio",Presidente
,"Carreri Marco","Amministratore Delegato"
,"Guzzetti Guido",Amministratore
,"Grieco Maria Patrizia",Amministratore
,"Nahum Karem Sylvie",Amministratore
,"Di Mascio Antonello",Amministratore
,"Valsecchi Francesco",Amministratore
,"Pasinelli Francesca",Amministratore
,"Venuti Gianfranco",Amministratore
"AQUAFIL SPA ","Bonazzi Giulio","Presidente e Amministratore Delegato"
,"Zambon Margherita",Amministratore
,"Heidempergher Simona",Amministratore
,"Profumo Francesco",Amministratore
,"Bonazzi Silvana",Amministratore
,"Vivaldi Adriano",Amministratore
,"Calenti Fabrizio",Amministratore
,"Rossi Franco",Amministratore
,"Pagliani Carlo",Amministratore
"ARNOLDO MONDADORI EDITORE SPA ","Berlusconi Marina Elvira",Presidente
,"Mauri Ernesto","Amministratore Delegato"
,"Berlusconi Piersilvio",Amministratore
,"Poli Roberto",Amministratore
,"Biffi Elena",Amministratore
,"Resca Mario",Amministratore
,"Rossello Cristina",Amministratore
,"Giangualano Patrizia Michela",Amministratore
,"Renoldi Angelo",Amministratore
,"Curro' Francesco",Amministratore
,"Ainio Paolo Guglielmo Luigi",Amministratore
,"Forneron Mondadori Martina",Amministratore
,"Pellegrino Danilo",Amministratore
,"Pozzi Oddone Maria",Amministratore
"ASCOPIAVE SPA ","Cecconato Nicola","Presidente e Amministratore Delegato"
,"Martorelli Giorgio",Amministratore
,"Quarello Enrico",Amministratore
,"Lillo Antonella",Amministratore
,"Pietrobon Greta",Amministratore
,"Coin Dimitri",Amministratore
"AS ROMA SPA ","Pallotta James Joseph","Presidente e Componente del Comitato Esecutivo"
,"Baldissoni Mauro","Vice Presidente e Componente del Comitato Esecutivo"
,"Fienga Guido","Amministratore Delegato"
,"Beers Charlotte Lenore",Amministratore
,"Edgerley Paul Bradford",Amministratore
,"Tull Alba Victoria",Amministratore
,"Navarra Benedetta",Amministratore
,"D'amore Richard Antony",Amministratore
,"Sternlicht Barry Stuart",Amministratore
,"Martin Gregory Scott",Amministratore
,"Cambareri Gianluca",Amministratore
,"Neely Cameron Michael",Amministratore
,"Mazzamauro Cristina",Amministratore
,"Garciaparra Mariel Hamm",Amministratore
,"Galantic John",Amministratore
"ASSICURAZIONI GENERALI SPA ","Galateri Di Genola E Suniglia Gabriele",Presidente
,"Rebecchini Clemente","Vice Presidente"
,"Caltagirone Francesco Gaetano","Vice Presidente"
,"Donnet Philippe","Amministratore Delegato"
,"Bardin Romolo",Amministratore
,"Di Benedetto Paolo",Amministratore
,"Pucci Sabrina",Amministratore
,"Mei-pochtler Antonella",Amministratore
,"Pellicioli Renzo",Amministratore
,"Mazzilli Ines",Amministratore
,"Perotti Roberto",Amministratore
,"Figari Alberta",Amministratore
,"Moriani Diva",Amministratore
"ASTALDI SPA ","Astaldi Paolo",Presidente
,"Monti Ernesto","Vice Presidente"
,"Valensise Michele","Vice Presidente"
,"Stinellis Filippo","Amministratore Delegato"
,"Astaldi Caterina",Amministratore
,"Cuccia Paolo",Amministratore
,"Mancini Chiara",Amministratore
,"Gnudi Piero",Amministratore
,"Mincato Nicoletta",Amministratore
"ASTM SPA ","Gros Pietro Gian Maria",Presidente
,"Gavio Daniela","Vice Presidente"
,"Testore Roberto","Vice Presidente"
,"Rubegni Alberto","Amministratore Delegato"
,"Iacozzilli Venanzio",Amministratore
,"Angoitia Juan",Amministratore
,"Mascardi Fabiola",Amministratore
,"Poggiali Barbara",Amministratore
,"Gavio Beniamino",Amministratore
,"Roth Luigi Piergiuseppe Ferdinando",Amministratore
,"Bima Caterina",Amministratore
,"Gatto Giuseppe",Amministratore
,"Gallazzi Giulio",Amministratore
,"Caporello Arabella",Amministratore
